reviewId,userName,content,score
gp:AOqpTOETrae8G3hPfi4AQ9fQqcEmJjRzTqN3jD7r7KohGK-5B5XQVPlJQJEDQFSkgasS74FsC09QiNdgBPMopSw,Michele and Darryl Burns,Not easy to use. Keeps locking phone up ..,5
gp:AOqpTOFjnpifTjDpDs73w7AVwsoKQvyqrIgoBEXWLL1M9I5A9LeZEwGqmBJpZ7HoYlX0SpMAEAuH-87l6XgVqZ4,Abhishek Gaur,Must have to get the emergency alerts,5
gp:AOqpTOFPzveGhvs7zVC84PCDQQT_qBxkJR-wZacJMVHeSGAf8ZVpAV9C9caCriB573y_1yw_krWAbNow1UPhmnE,Bill Winter,Today it asked for new permissions. I denied it and now it locks up my phone when trying to use it. I've been using the app since 8/2020 no issues prior to today.,1
gp:AOqpTOGRck-tkoBFhV8WVV57ohrDscVxa-sT2EVQZXWKpgE1Aelae8yJUvWpM2Qff4vCjZP0fCbcssdnBq0hDMU,Margo Ortiz,In the Creek Fire this app was a necessity. Won't be without it...EVER (BRIDGE)!!!LOL,5
gp:AOqpTOH_einMwIYagkCtV8r5pbdVDgTT8sk_nUZh35pw56NOV4uTHuUh59Eoz5LfGt-oTKT85rZIeuGNbGGScas,Bukhaari Farah,Cant download the app. System is vey slow. Keep loading.,1
gp:AOqpTOH2FbzE8hoUIOAkSBFoB749vGWcWDByHC8hfRT0ODaCRn2QmPQ9obOCrBrJ6uFjnoYU2inx5uDzytcJOLw,srikanth chowdary,Stupid app,1
gp:AOqpTOEsOI6vdiVVi7Ukr0zvLQ0OrZPQVKrjNk-9p297rLALzYq4hP-cIT2ZTHpDXNB7_kLmzjMfD_Tcbt3NE7o,Paul C,"Stopped working, will not finish start up",1
gp:AOqpTOECKMFB1AqAnij34cPZ56_TCQYDbWiAV1aglQl6ntAEK5tGj9XYlSEhEt7JXpPgEYiUwsiU1_crbCZjGj4,Dyl Pickle,Doesn't work,1
gp:AOqpTOGnVJRF7NPKuTWO776v-XraujYXFTRLacJ9NGGGwuTfCthoTK7Yj-SRt-2saInPNVZ9w0sIDZUqzx3b-x8,Evelyn Blandino,"This app replaced Nixel for giving information about crime, traffic, emergency management, natural disasters, etc... So far it's not exactly easy or convenient. I do seem to be getting notices. Not as many as I used to on the Nixel service, but I'm sure they'll flush out the kinks.",3
gp:AOqpTOEbd0VoIZc_5gDKlh1AkxEuZg_ZUAhq-CvStTyfEO-fGlSZXI9Ityo0eHieWZF81Slv3ixRw60V-BltqYE,Sue Short,"App keeps stopping, not all notifications received.",1
gp:AOqpTOGFNJ2-coW-kglDdgLynCvtwvE3FY83TzJsQzxcEKdR3quc0tgI86vGJzIA2LcIfBl3PT2PwfhT4TuPFhs,mm ee,No sound notifications very bad app,1
gp:AOqpTOFWoWjgKMtuslPDDYcKOQAHzSEncaMjI5sR1pQPU4JxqaN9CMWHwLQtEs-9GlijVM1r-8PWsZrzN3y0jEE,MILDRED BROWN,EXCLLENT,5
gp:AOqpTOG7jRVYbDofq_XJXfagnNfRWfZu4DiQDSWdV5kyFlu_0MRDTLCx_vV9WMatK4muCh1pFzLY7G5uAFnyteE,Norman Tu,Got false rejection token despite answering screening correctly. Campus security had to waive/clear me through. Unpleasant general experience of notification delays and now this in the morning.,1
gp:AOqpTOFmZq-OBpDsZo1OsRq3JOLDAvGAL4CJTfbSmySKsU7qcjmbnFuxxvWBibx2jmA-cUMrYPqOXH8ZdA1ynsA,tlod9,Great,5
gp:AOqpTOE9qByk6aR-PastxBgRgRMXlkMIzdSBrXEIa1T9s-FDKu9IsrcRA0hjXYFCDbImB_02bCDPUNTmkCpwNio,Walter Uehlinger,You suck,1
gp:AOqpTOEl0BehucKPZ2bJ2zEuBBzrZE-3YlLsXUIPxOqUVXonQWgnMiKaKYkmiUxrKUy7i6tfWmNEaba-Tkk2HBQ,Shandelle Williams,I cant even get it to install,1
gp:AOqpTOHwg5upOrboOzfaXB2_urhwPJEo_coelJWBQOEKySIQ1V_Ts9odOtbZiGdmUPih-uC5-cPRx_Z8f-rBnjU,Barry Quine,Doesnt work,1
gp:AOqpTOEQjLF_mYALIOrFPcyKSBmkXmfPA9saNF8LP4L3elBYvP-ctZCH7xJVpvhYr6WIxTyCcp6a7Vfn4IYOwjE,John White,"Well, so far, it just freezes solid at the beginning of the subscription process (I have an existing Nixle account). This is going to be great!",1
gp:AOqpTOGc1cBiHTj42FNyuAqVBlnysPAmT_HP2zo3ueFbnnp2a3a-AEhybHQ6lXeHDcxXt3zEFt_zbC3S8awERAc,Julia Duncan,Who let me submit the verification number. Tried 3 times.,1
gp:AOqpTOFrk2RNuab_qCSytzOXw0lbM1rSDSvk9hikNpeodujpKusnt8c-LFc1y3qlScKxs4sqEt1yHuZk2I5LOqk,Vickry Kayser,"I got absolutely no notifications for my city, much less my part of the city on this app. It is completely useless in my opinion.",1
gp:AOqpTOH1r_TCISWhWfGiBsxZ7rI9fmhFGfisrsyHsXAV0Dq3CgEa7J2xfUv1VC-hvZ5x4czU33lnH_2pSlrtUek,Jack Phillips Lord,Can we have the ability to mute non priority notifications rather than just copy the phone settings. I want to be able to have normal notification sound on phone but mute everbridge non priority notifications :),1
gp:AOqpTOENzjxW53VfeoiEhdM5g1lHmt1oNrZ-TgkzOyah8jqpgTJ6Ku3AADKFOA4UUh0Mngz4W8ZTL1PIfHFz0t8,Cheryle Ellsworth,Can't get rid of these people,1
gp:AOqpTOH2qRxLaLDZsGzwlJsF8yZxfHMCcHk0x8PGD_I0ptctjCZeGv2SKF4zbb0W57oeUigQhb_zoD3MS6lJR08,cristina novoa,Keeps crashing,1
gp:AOqpTOHOlzJo7wv1xQsQOJO9AVdixApXREoDdGcFXyfm3qvDvVsN7jz7zSi1sLqIwiz3J3BUUC7Dz6vMbmWlJqU,raymond tidmore,"Uninstalling, with pending laws of phone use in vehicle response to confirm warning notification will potentially result in a ticket. TV apps and weatherbug beat this apps alerts anyway. Pretty useless app actually.",1
gp:AOqpTOGfdOILIneTvJkkzdBz927pBv1k-A-ohZW23yDKC97l5-cwlayXo9Wd4x0b3t7o5V3LKb_lE91d4uMYkl8,Jack Turner,"Useless, just went threw two tornado warning in Rutherford county and never got a single notification from app.",1
gp:AOqpTOGktbCXA5XZpRQN-4k_YeJIOz8eJYIl6ZKXycnr9Epk1R8jJiXeHo2XQa7lXyCRYwOpJsaUM5YX6uAROfU,Hannah,"When I open the app, I just get a black screen.",1
gp:AOqpTOEiV1XbLJQiCtpReppyinIOsQnCFBo_coVzDGaxQ2tLTFR7E5KV5UP0JjlG4dc29gU_fBw-3eaR5A5iw7I,deb patterson,Emergency alerts for your area!,5
gp:AOqpTOEfnZ2wI8Nti1wduQBGP7cru6tM-7agZl-D3fK5cl9ElD9zD2TsjviweReBc9dHsoZZqJD7y_peIexH9Lc,Darina Qafleshi,"I need to use this app for CUNY Health Screening. But, the app is useless, because when i tap at ""CUNY Health Screaning"" nothing happens. So, in order for me to have a sucsessful submission, I have to uninstall and install it everytime i use it. What a pain!",1
gp:AOqpTOFrfj5BJs93J4UxXnn1BFEFFoaFqolE1GpbMbRZfqCN6xThMaUlPhNc59ETGca8iTC9GTrgvBnA7pLJijE,Rayne,Can't log in. No results from my city or surrounding cities,1
gp:AOqpTOHu70VWTDxmm0j_M9zYKBxTHc2KxfSskELWUvObOO61rZ-lrsogZeo4SOiyEEA-dLf_AZZOX3K9cbWAcA4,Thomas Greenberg,Confusing,1
gp:AOqpTOHTHt1RFpdqfuZZIBpHezg2enkPsS5CKEB8M06JQervORApn6u9fFkR1Ag2cyQ0Y3pq8f5HGsW146J7De0,Madison Hardisky,This app is straight up unusable. Tried signing up for covid alerts and all I could find was a weather warning 50 miles away. Hire a real programmer.,1
gp:AOqpTOEyQVrMFZm1yYHVpLthzX65vIRQ-3ujWA7iN1LgAN_fN1Zf706SzlKN-M75EzE-Xbi_50l1kWOKGLgITtE,Trish Morris,Excellent,5
gp:AOqpTOGhdG3072nHwJ-8unTWAuftHBAmpFPZ18qZWq84Qw7DgnwFovpuRG0omxsk3GRYnvUT4WF5Fh3vJKSc0DQ,Pratap Azad,Does not work majority of the time...,1
gp:AOqpTOGNfdh3tPGn32eapRmvWbJFX8CD35vzoZ3IsZvpjT-9WEyLZ_sxwmBaEKlnDmbpnfqW8t3HA-gXVXQDhXI,Dave Longey,Very unprofessional app that worth anything wont load,1
gp:AOqpTOFvcxS0_S4DloXAvfKYrPDAdfsYJgggb4x9dCtGYmMrE9S3pBIwOSjPeArK7ymoo-a_cZ4nFIYEnYvllww,Philip Beckett,Failed to link my mobile and email to the account set up online.,1
gp:AOqpTOGefVyzQ3vfr8C61p6cyRsadtVlZKwPFeX7xSpOGVdVjhC3oEhALseVrwqcYbK29Z6gg4bh5_Kfmp2IbsU,Helen Demay,Timely reports.,5
gp:AOqpTOGU-myYzeKBSV5uregHtwmhdfsdgluw2rt4iBgED-S63lm9nPZKRpzbsvWxYB-48Jy6VBAMKHt993ral5c,T Rex,"Having issues trying use my 4 digit pin. Keeps telling me to go back to the search bar for answers. Yeah, right.........",1
gp:AOqpTOEL2waCQPYPPHbkGkmanavQ3ZvfCfIhBYgYY-1JNDq1mFUSTql6et6MKzVxHOjRNcpwczYleOSmD1R2ENc,Jenny Faith,Very difficult to register for covid vaccine.,3
gp:AOqpTOGsSegK5cLtkEiE7wKK5Iv-k8h7KAg_ckm6EuYrYfcGTfzLlDpQfR443kkmL3bHYAHqtSfsBWtt1yb8cVc,Neal Saito,Signed up through the WV DHHR. Did not receive any confirmation notice. No explanation as to what to expect. No way to log in as they do not appear as an organization.,1
gp:AOqpTOFGvY46RLJO9Tdj5ijKzEWsuZWVIzbKqZxfLWw4_mf_YSp7T70qLJyA15K8Hf7LtjcybwjEfQ9ZaBM7LzI,Bob Fitzsimmons,Very thin on info.. possibly worthless,1
gp:AOqpTOFMZ9MDzdk3mMmODZT-mE6R77oOeHYwKvG4m4eCY-4vwGjnDI3PpWWCt5MEyDyTNrhQvfUu3CJW5HHOB3s,Stacy Baker,"This app does not filter alerts according to your neighborhood, at least for where I live in the District of Columbia. After signing up, I started getting push notices and emails for robberies and utility works miles from my home. Not helpful. This is the second time in about 5 years that I have tried the app hoping to get neighborhood-specific public safety notices; once again I will uninstall it immediately.",2
gp:AOqpTOHIlbfuQPVyoozF4D7YFAUJ8bukIG13bgmnpGlgB7EMa5IOzZAbWI-kIOkU7GBsDAm1CrcXT-rMdc-j0g0,Janet Barone,It doesn't make sense.. very confusing,1
gp:AOqpTOFKLU3Oujfp-Jdw9FxEVy5FE5vbKGgljpFiCL0-vSoQW1Z2xHQ5kBtJcb-kKpXjgrpe1Qwv-QeULaOlIw0,Cliff Ting,This App does not support Google 3XL mobile phone,1
gp:AOqpTOH5LzrODjUqyW2qEf0l7WIlDDdY38MhL15pAVzR6xEbN4Axk5946mQmgjlziVUzJChNi8OoFSnXTi0RxFc,Michelle 433,"I cannot get the forgot username and forgot password to send me the links. And it won't let my husband have information because my phone number is linked to my name, I should be able to have two names on one phone number for making vaccine appointments. He is on teleconference on his phone and can't have it be involved with trying to get his appointment. and there should be information that the NRG site is using different guidelines than.... the bayou City events center guidelines.",3
gp:AOqpTOGO5tztVK3Ssr9Be4VBfdbXEDYW1QY0fRTehXD50BW46euozq_8hMcluK6e_EtpNyB0vqtMzoJPHnbjZY0,Tracy Elswick,Slow to open or didn't work.,1
gp:AOqpTOEvs_D_tLOMQ04OiRmggPXVEaF05BgKY7Z8Ijkke1sd85JBIlQc29cOSNzWoccWXeCyKZ7ctTBlCqOAA_g,Bob Smith,It works. Audible alarms are inconsistent.,3
gp:AOqpTOGOlOaV78fAaWLlIbxr6aySU-a0nacyXnqCfvgQtVfUV1J4DWhz3RmtZRviNjI4sc1WKqFw3F2LZzpxy80,Kathy Cassoday,Cannot enroll Problem with registration for COVID vaccine,1
gp:AOqpTOGeAGQpZiKdhWaYMiRB7r2yksG3nFPxxAOiqlYWBQ0qKZngviGHqY3F9k2rHudTd3pl3Wc_b-NJbuSW8AU,Jennifer Harlan,"I can't seem to figure out how to attach this app to my account, so it appears to be useless.",1
gp:AOqpTOFXjJ1x-CFkDLot4M7-pafk1At4zDXQnXpcD-TJT25ohQ2Q3-DyO7JkBS7J-wd9I98MtJ5tyiPgoH09g_w,Rick Sullivan,You need a college education to work that app,1
gp:AOqpTOEoK4xHL_xJvSR06nLNAj7hs0-pUX87HUfCRYl4Y-91zugWUTPaherR_TOQ1Bv0LwL4u9s_EBaC00qBi6A,Russell Bailey,Setup username and password. All accepted. Now can't get back in. Forgot password says username invalid! Tried registration again. Usename taken. Frustrating app.,1
gp:AOqpTOE6fzoiRvTl6NMlkTeveSU36fCvSkvPJOpDvQ5PFX7jDndKh6HeJk7E-fGRh09f7VAUpsahnXAnWctNz_o,Louise Mallette,Unable to get to work. Why is Sarasota County making registering so difficult for the vaccine?!,1
gp:AOqpTOHKXgu33FSfRAvedEIBPJWXeFWKsWyi6FvcHOX3tCseEAThgAOLVnSXFq8oDbdI7ERKKU5TbeiqeJkft08,Mary Novak,"This is a bunch of b.s., can't create an account! Don't bother to install",1
gp:AOqpTOEDe_uJ3mkt7L2nj0UOp3z2WT_0Rh8nzn8vAedLobLS0pEEcnEsOGf8tifqTSRluXVFiEJqJxIfbPIhOoo,jinoh son,Gives me a black blank screen when I open this app. Terrible app.,1
gp:AOqpTOE98RL76SJqZs43IhYPHeA8_DpoU7Yf9tMIQcZulfFM2cBy9H3xIRRt04mT7_fNlRRCtuBfarvQhf61jMU,Ekkehard Scheffler,App does not open at all on Android 10. I do not receive any notifications while I know I should have.,1
gp:AOqpTOF8p3LBQ-VSuDi2N1Fmvd-4lpUYwdB-4WCezAKBVZdOQZt7IAONYJfdujJHVlODNMdoEbMDLPYFPwr4rI8,Amit Nanavati,Not the easiest app to set up an account. But when you need a vaccine you put up with it. Don't try and start a business with this crew.,3
gp:AOqpTOF1bDfwwl71ZqFcqUoaygWleyE5jqQOQx2nHqrVpMjsQ-R_yHKjCGQ4unpzbYoretXpi3QGctIQNmbfIFc,Czarandom,the PDF viewer in this app is really quite terrible. It doesn't even allow you to rotate the screen so that you can actually read a whole sentence without scrolling left to right. They really could have done a lot better with this.,1
gp:AOqpTOFi8U3KLthdPxaXsE8mLhPh1gjUda-uWybTlQfCSEzxbJkP1i-Hclx5DVXTO86UXikCa00Mvk_1Is7YPs0,Nicholas Russell,"Utter rubbish app. Keeps logging out, for some reason my sound notification stopped and cant get it to work again...tried everything. The sooner my employer gets rid of it the better.",1
gp:AOqpTOEz3m8HQfWwiPkRi3fbiz9bWlvNOoUGN1j09gzP_N9d0UUu_Tm7-U0q0d7eVfebUI5L24DnC44RAQQ6Qw0,Ken LeBlanc,Useless (and the following is stupid),1
gp:AOqpTOHCwVZ_kKceEeFJUHcdj4wk0e3MODd0lXqDLqTqwCm2HHdtsuKNWOY4E2M_e5w4fFBtZFGqfM_iRvoq4ac,Lew Claycomb,"This app sucks. Will not let you login. I said need new password, used username, got it. Then won't let me login. Says UN wrong!!!",1
gp:AOqpTOFexCaKaLK1AQcCOo3r7LVhEwkNhwP4F7BK7uYTcH8cuJvoJLTGks7wpOkURNevRkAfXcfmiqVnf3o9-uw,Kevin Scott,"I seem to get notifications, atleast one of them anyhow. As reported in another review, when you attempt to open the app, the Title page opens, then goes to a black screen and stays there. Definitely needs to be repaired. No idea if I'm missing any important information because the app will not open properly.",1
gp:AOqpTOEOnjAAsXERjP2ltG9MevdybFA_j4bIAG0K78h4qypBQOVluax97eq5SoDJzDuSW-FEq45d68Cx93bpj84,Lisa *Masty911*,I get the notifications within the app but nothing on my phone. This is been going on since I subscribed a few years ago very frustrating.,1
gp:AOqpTOEds3Abo0rr4uZ_aFGJyBbVUymVvZtT_EfWYlE4cPOyKGrJyspG6Ep2YMJCd4G-QhWSAeBamEsJTdjtRPY,Ray Paulsen,Not getting notifactions!,5
gp:AOqpTOEmVZ_5KkG6MSjPeysCfWX7j5uefu2gtahB5AXNO7ZymAngqaX5i0PSh1HjxWpMUJq8MLdyYWMs3_bkH04,John Lynch,Hope to get timely notification of available Covid-19 vacine clinc.,5
gp:AOqpTOGevOIAwHM6hFTMWwVJrHIvQdaqTt8EEK66HR70_sZMKTgX0GvG8uMeganNqCXalgDv5opSZT9Wly6eqXQ,Mj Allen,Just awful. Did not recognize ANYTHING,1
gp:AOqpTOFs5bVyTzgq89HlRwGgIjpuwwt7z8sI23Bf8Ws9ozi025Nt9HKwvlFWrMCJ4ZN_n8oa3kcY84vZ-DV8Z7c,Terry Rosenbaum,"I have the app set to alert (not silent). I get the expected notification - brief popup, vibrates, shown in non-silent alert list, but NO sound alert (notifications volume is on full scale and sound on notifications works fine with all other apps). I've witnessed an alert notification coming in and definitely displays popup and vibrates but no sound. My county is ditching text alerts (which did sound upon arrival) in favor of this sub-standard apo. App on auto update and it updated 2 days ago.",2
gp:AOqpTOE4oMP8Ma8bxurV1No1ud2S5ncQVEnCUvPYferybDXmJze_vTyLC2kJr7w-gu_NMSCAYvqHWVars789XNk,Lenny L.,Justhorrible...,1
gp:AOqpTOFDyRuB-E3DS40hVs4EE2ovE-0s8Lzv4NUFSlGqJYd0pQh1fDT56pOb79g0Rykb2AfRQxlffzf6P8DnOWY,travis wilson,plus*,5
gp:AOqpTOGkVjbjNK3jyWUty4Opef3pMEf61bLvbjSHXYyKmGizNSZ0SqUwmgsQ0Th5Kmq2YnV5xL07F6Ws9oqSKbE,Steve D,It would be nice if you can set a preferred language to avoid getting summary notices in other languages,3
gp:AOqpTOHLl8jmrSFdOdP_W8zxOfTof42IlsxhTbpBZj2GZ34byWBQ0VZAAPYNvRf-YPq0icQ9BOnQLLoPMWEQE_8,Lee Comeau,Difficult and frustrating,2
gp:AOqpTOG1ZbwLuTQL_EWkNIWNxR255RK9nGwH3ZuKSI-OA_x8VrbXvmIXc09D1mJN8t6JITj2fuwXiOT5ahslnPc,A Google user,"Adding the app to my phone for the vaccine info was a pain.as far as birthdate was concerned. Had to scroll back 83 years, just let me enter the date instead of using the calendar.",3
gp:AOqpTOHYMR6jagRHGmuKIA66-si-Uz69axz6bNEsjuq0PlkZJbDHaZpLcskmY8bNPw21cmK8feVPufAV-JOrSGI,Belinda Murphy,This is an impossible app to navigate. Cannot seem to get logged in. Trying to get signed up for covid vaccine. I am 68 and my husband is 70.,1
gp:AOqpTOElazr-BIZPpj62KoHW301dLrwhpQ9IwyuonF6Y98LIyMM-i5Rs3hp5W7tEp31LkhzQ1GyDzDot0Myy8PA,Pat Ramph,Doesn't work,1
gp:AOqpTOFhWLT9XfVzC5aNs3PDGoBXHgmgPTSDdMzYYg6DEX704HjnO7wMYyG4yW3RHv0q80dM_Q-v5tw9YsSGkJY,Myron H greenspan,"The app tells me i cant register?? I dont know why. Friends tell me to get on your app, click register and register. The app response says I can't register? Please help me.",1
